"timestamp","value"
1753551539811,28
1753551524637,26
1753551509757,27
1753551494760,29
1753551479730,28
1753551464492,28
1753551449660,31
1753551434522,32
1753551419585,34
1753551404407,35
1753551389547,35
1753551374350,35
1753551359494,36
1753551344294,38
1753551329428,40
1753551314205,40
1753551299340,39
1753551284228,39
1753551269311,39
1753551254086,41
1753551239176,42
1753551224005,41
1753551209189,42
1753551193901,44
1753551179064,44
1753551163852,42
1753551148973,41
1753551134091,37
1753551118852,35
1753551103993,37
1753551088783,35
1753551073877,39
1753551058743,39
1753551043833,37
1753551028625,37
1753551013687,35
1753550998642,34
1753550983701,36
1753550968517,39
1753550953666,40
1753550938530,43
1753550923566,41
1753550908406,40
1753550893452,38
1753550878279,37
1753550863383,37
1753550848244,37
1753550833386,36
1753550818186,36
1753550803286,38
1753550788184,41
1753550773223,44
1753550757952,44
1753550743103,46
1753550727993,41
1753550713126,42
1753550697844,44
1753550683041,41
1753550668121,44
1753550652834,40
1753550637943,39
1753550622809,40
