"timestamp","value"
1753551540744,508
1753551540232,512
1753551539728,504
1753551539224,504
1753551538712,512
1753551538204,508
1753551537700,504
1753551537200,500
1753551532975,500
1753551529923,496
1753551529419,504
1753551528907,512
1753551528419,488
1753551527919,500
1753551527419,500
1753551526923,496
1753551526435,488
1753551525939,496
1753551525439,500
1753551524947,492
1753551524443,504
1753551523943,500
1753551523435,508
1753551522923,512
1753551522431,492
1753551521923,508
1753551521419,504
1753551520919,500
1753551520423,496
1753551519911,512
1753551519407,504
1753551518907,500
1753551518395,512
1753551517887,508
1753551517391,496
1753551516879,512
1753551516375,504
1753551515879,496
1753551515371,508
1753551514855,516
1753551514351,504
1753551513843,508
1753551513286,524
1753551512770,516
1753551512246,524
1753551511714,532
1753551511182,532
1753551510650,532
1753551510114,536
1753551509574,540
1753551509046,528
1753551508510,536
1753551508087,524
1753551507567,520
1753551507051,516
1753551506527,524
1753551505999,528
1753551505475,524
1753551504935,540
1753551504391,544
1753551503851,540
1753551503299,552
1753551502739,560
1753551502187,552
1753551501627,560
1753551501063,564
1753551500507,556
1753551499963,544
1753551499419,544
1753551498871,548
1753551498331,540
1753551497799,532
1753551497259,540
1753551496723,536
1753551496187,536
1753551495635,552
1753551495071,564
1753551494519,552
1753551493951,568
1753551493383,568
1753551492819,564
1753551492255,564
1753551491687,568
1753551491155,532
1753551490631,524
1753551490107,524
1753551489599,508
1753551489095,504
1753551488575,520
1753551488075,500
1753551487575,500
1753551487063,512
1753551486551,512
1753551486039,512
1753551485519,520
1753551485003,516
1753551484487,516
1753551483963,524
1753551483443,520
1753551482927,516
1753551482407,520
1753551481879,528
1753551481359,520
1753551480831,528
1753551480299,532
1753551479767,532
1753551479243,524
1753551478699,544
1753551478159,540
1753551477631,528
1753551477091,540
1753551476547,544
1753551476007,540
1753551475475,532
1753551474947,528
1753551474407,540
1753551473871,536
1753551473351,520
1753551472823,528
1753551472295,528
1753551471767,528
1753551471239,528
1753551470711,528
1753551470147,564
1753551469643,504
1753551469111,532
1753551468571,540
1753551468039,532
1753551467503,536
1753551466963,540
1753551466435,528
1753551465907,528
1753551465375,532
1753551464847,528
1753551464331,516
1753551463807,524
1753551463283,524
1753551462763,520
1753551462255,508
1753551461735,520
1753551461215,520
1753551460703,512
1753551460195,508
1753551459679,516
1753551459159,520
1753551458651,508
1753551458143,508
1753551457631,512
1753551457119,512
1753551456615,504
1753551456103,512
1753551455599,504
1753551455091,508
1753551454595,496
1753551454091,504
1753551453587,504
1753551453083,504
1753551452583,500
1753551452075,508
1753551451563,512
1753551451059,504
1753551450547,512
1753551450039,508
1753551449535,504
1753551449019,516
1753551448503,516
1753551447447,512
1753551446923,524
1753551446399,524
1753551445879,520
1753551445351,528
1753551444827,524
1753551444303,524
1753551443787,516
1753551443263,524
1753551442739,524
1753551442219,520
1753551441703,516
1753551441179,524
1753551440659,520
1753551440143,516
1753551439619,524
1753551439099,520
1753551438575,524
1753551438047,528
1753551437519,528
1753551436999,520
1753551436467,532
1753551435939,528
1753551435415,524
1753551434891,524
1753551434363,528
1753551433839,524
1753551433315,524
1753551432799,516
1753551432287,512
1753551431763,524
1753551431231,532
1753551430703,528
1753551430187,516
1753551429663,524
1753551429139,524
1753551428615,524
1753551428107,508
1753551427591,516
1753551427075,516
1753551426567,508
1753551426059,508
1753551425543,516
1753551425027,516
1753551424503,524
1753551423987,516
1753551423463,524
1753551422939,524
1753551422419,520
1753551421891,528
1753551421359,532
1753551420831,528
1753551420311,520
1753551419787,524
1753551419255,532
1753551418735,520
1753551418219,516
1753551417699,520
1753551417179,520
1753551416663,516
1753551416151,512
1753551415627,524
1753551415099,528
1753551414575,524
1753551414055,520
1753551413527,528
1753551412999,528
1753551412483,516
1753551411967,516
1753551411451,516
1753551410935,516
1753551410431,504
1753551409923,508
1753551409407,516
1753551408899,508
1753551408391,508
1753551407875,516
1753551407347,528
1753551406835,512
1753551406315,520
1753551405791,524
1753551405263,528
1753551404747,516
1753551404223,524
1753551403703,520
1753551403179,524
1753551402671,508
1753551402155,516
1753551401635,520
1753551401119,516
1753551400611,508
1753551400095,516
1753551399575,520
1753551399055,520
1753551398547,508
1753551398035,512
1753551397511,524
1753551396995,516
1753551396483,512
1753551395971,512
1753551395455,516
1753551394935,520
1753551394431,504
1753551393923,508
1753551393411,512
1753551392903,508
1753551392403,500
1753551391891,512
1753551391379,512
1753551390871,508
1753551390367,504
1753551389381,516
1753551388865,516
1753551388361,504
1753551387849,512
1753551387337,512
1753551386821,516
1753551386321,500
1753551385809,512
1753551385301,508
1753551384797,504
1753551384301,496
1753551383805,496
1753551383309,496
1753551382817,492
1753551382333,484
1753551381841,492
