"timestamp","value"
1753551539310,119
1753551539004,119
1753551531036,120
1753551525649,119
1753551521252,118
1753551516738,115
1753551512105,113
1753551507019,109
1753551502492,110
1753551497537,107
1753551492454,117
1753551487729,115
1753551482900,112
1753551478255,112
1753551473526,112
1753551468593,113
1753551463774,116
1753551459303,118
1753551454652,118
1753551450148,115
1753551445397,115
1753551440653,114
1753551436080,114
1753551431213,116
1753551426537,114
1753551421818,115
1753551417051,115
1753551412324,116
1753551407928,115
1753551403076,116
1753551398449,117
1753551394023,117
1753551389332,118
1753551384873,122
1753551380260,124
1753551376079,127
1753551371828,130
1753551367617,131
1753551363424,135
1753551359460,137
1753551355449,139
1753551351743,138
1753551347866,137
1753551343746,135
1753551339793,133
1753551335988,133
1753551331863,133
1753551327627,132
1753551323591,132
1753551319416,133
1753551315559,135
1753551311532,137
1753551307460,138
1753551303734,139
1753551299760,139
1753551295776,139
1753551292077,138
1753551288134,137
1753551284206,139
1753551280127,139
1753551276372,138
1753551272493,136
1753551268507,139
1753551264440,137
1753551260744,140
1753551256806,143
1753551253071,143
1753551249267,144
1753551245665,145
1753551241932,145
1753551238141,145
1753551234429,148
1753551230741,148
1753551227013,147
1753551223456,145
1753551219783,144
1753551216169,143
1753551212342,143
1753551208251,143
1753551204559,142
1753551200929,140
1753551196942,139
1753551193128,141
1753551189148,145
1753551185759,145
1753551181922,144
1753551178243,143
1753551174266,142
1753551170572,143
1753551166885,145
1753551163067,146
1753551159371,146
1753551155654,145
1753551151953,145
1753551148163,146
1753551144472,147
1753551140994,145
1753551137222,145
1753551133555,146
1753551129884,147
1753551126055,146
1753551122453,146
1753551118718,149
1753551115063,149
1753551111442,148
1753551107630,148
1753551104144,148
1753551100523,147
1753551096801,147
1753551092948,147
1753551089527,148
1753551085861,149
1753551082018,148
1753551078554,147
1753551074927,147
1753551071165,146
1753551067367,146
1753551063976,145
1753551060306,144
1753551056494,145
1753551052752,146
1753551049097,146
1753551045221,147
1753551041537,149
1753551037905,150
1753551034321,149
1753551030652,150
1753551027244,150
1753551023373,149
1753551020028,148
1753551016261,148
1753551012755,147
1753551009063,146
1753551005342,144
1753551001535,142
1753550997909,144
1753550993884,145
1753550990060,143
1753550986423,143
1753550982583,142
1753550978985,143
1753550975294,144
1753550971558,144
1753550967790,144
1753550963766,143
1753550960151,143
1753550956286,144
1753550952665,144
1753550948944,143
1753550945116,142
1753550941161,141
1753550937508,143
1753550933786,143
1753550929952,143
1753550926052,144
1753550922287,145
1753550918611,144
1753550914816,143
1753550911149,143
1753550907338,142
1753550903613,141
1753550899660,141
1753550896007,140
1753550891924,140
1753550888239,141
1753550884517,141
1753550880638,145
1753550876761,145
1753550872986,145
1753550869360,145
1753550865645,145
1753550861884,145
1753550858195,144
1753550854352,143
1753550850823,144
1753550846958,146
1753550843328,146
1753550839562,146
1753550835877,146
1753550832357,147
1753550828637,149
1753550824944,148
1753550821355,149
1753550817661,149
1753550813923,150
1753550810541,148
1753550806664,148
1753550803255,149
1753550799475,148
1753550795798,148
1753550792373,147
1753550788510,148
1753550784855,147
1753550781389,145
1753550777728,145
1753550773866,144
1753550769936,143
1753550766283,144
1753550762565,145
1753550758831,145
1753550755087,147
1753550751364,148
1753550747828,147
1753550744099,146
1753550740393,146
1753550736566,147
1753550732918,147
1753550729515,146
1753550725694,147
1753550721939,146
1753550718291,146
1753550714462,146
1753550711083,146
1753550707395,145
1753550703548,145
1753550699911,145
1753550696106,145
1753550692384,145
1753550688715,146
1753550684945,146
1753550681210,145
1753550677491,144
1753550673750,145
1753550670033,145
1753550666335,145
1753550662635,145
1753550658787,143
1753550655153,141
1753550651386,140
1753550647430,139
1753550643440,139
1753550639743,141
1753550635770,142
1753550631954,143
1753550628330,141
1753550624610,142
1753550620545,142
1753550616834,141
1753550613175,140
